views;nb_comments
689057;31
740685;39
538572;37
776147;24
585029;10
580726;11
917651;37
126088;4
856848;138
620035;6
795816;15
733622;19
640056;10
447811;13
136242;6
757606;55
619530;26
636336;25
650121;17
577073;1
855242;7
889434;12
912184;49
704919;41
755333;22
751587;13
916652;33
830674;39
1153577;28
685583;25
764922;37
752454;3
750948;12
2221384;34
680980;9
1074334;9
780673;19
913620;48
1203146;20
242677;4
1315298;64
714624;6
796762;11
819639;36
1012044;33
947232;27
133796;5
135037;15
1499196;28
114079;7
86995;1
157171;3
129258;5
866942;16
838138;99
777909;22
789409;14
1050569;104
758378;16
743220;7
1144150;46
853620;17
823878;19
970860;22
1034250;23
793434;3
919906;19
921653;13
1167457;18
1260429;24
708958;12
735039;9
1398030;34
1153891;46
327100;2
775791;6
832974;7
846316;33
795722;4
1051829;91
1377568;27
135743;5
928987;11
2013732;48
840194;22
681702;6
933408;28
1571248;39
54404;2
1977102;19
834982;2
801000;13
825350;8
857976;29
1649317;44
1179374;68
948887;8
737034;5
1107344;40
753302;3
794511;5
1711317;48
1008740;35
1409735;49
928530;7
934727;16
980648;11
858056;26
1017993;20
1171413;45
804169;5
2782805;79
823491;14
824015;10
974784;6
1018672;41
1046569;14
1071943;19
947146;9
981513;21
1953685;21
885177;4
981151;13
770976;17
834173;31
939827;5
920891;13
1160772;36
1808380;75
210350;1
792955;2
1229641;15
795413;3
992441;6
794653;14
822210;1
952083;10
1161863;31
324552;5
1066512;24
946333;10
492368;5
170233;1
220345;1
208105;1
203057;2
273635;8
267592;6
422598;10
1286551;39
1119703;29
964029;19
205873;7
1397661;25
1056512;11
989622;18
930982;13
965041;8
990161;35
856690;5
1030247;5
1404719;25
817053;4
1089680;16
912420;10
4046906;81
578180;5
1386404;38
1116473;3
1005436;22
1332667;13
822892;9
1109565;3
955304;23
1708726;19
1017249;17
1571667;26
894797;7
824705;4
1095972;22
1209681;21
1173069;22
1017134;76
1229926;59
184401;3
832209;8
1017207;39
966768;34
898454;5
1294994;10
2938412;100
1031211;12
915160;10
1103811;4
845697;20
1782420;32
914431;5
3034027;52
1019842;21
1223746;35
1055895;20
1254851;37
428376;11
1184267;12
1140737;17
1106275;22
1044900;12
1385129;15
1382748;86
858537;20
996031;6
1177765;11
1088230;8
1019889;18
511888;17
2401388;26
860922;7
884558;12
953737;6
901777;24
851251;5
1081461;27
2030314;16
964633;12
1063115;36
2270085;118
931713;26
1764072;33
927366;20
922686;10
1031601;10
986197;20
1574226;28
416973;11
1560041;18
1520080;44
1096588;34
1049825;7
1066136;4
1208703;19
1110456;10
388065;12
1183224;15
1052457;15
1263289;29
1250761;29
391437;8
2700966;73
3521070;106
2800508;44
907198;14
1416220;39
1063618;15
1283366;33
1067688;15
1542054;34
1033376;12
1340793;39
1104019;24
2328978;60
1113593;9
1067680;40
905803;7
2007171;112
1121034;18
963461;8
965792;13
1257346;70
1161540;15
1087858;25
1104691;12
1564102;46
900181;21
1074979;27
448900;26
979091;10
1387951;50
1452850;33
2064816;35
972395;14
1078877;10
1209693;38
1142451;12
2280366;73
146740;8
946313;6
2063144;65
1185472;35
1000346;8
1078784;71
1126586;9
1160970;8
379638;8
1313934;55
927603;5
1381267;22
1246636;30
2275090;14
1776343;48
2055982;38
1462502;57
1735587;41
997634;5
1754427;21
1128446;8
1467350;77
1401194;70
1815691;23
1131705;7
1169002;11
450644;17
1916493;50
2176373;17
1043995;12
1277130;22
1098270;19
1154910;24
1402501;26
1357067;37
2521607;83
1162374;25
1095792;9
1084031;25
1061031;18
1202387;14
1044133;4
1450754;25
1622841;45
1095965;24
1417909;9
4983796;81
1068439;26
1513373;18
1263541;6
559250;12
2329639;37
1104275;19
1035888;17
1303308;53
878833;5
1186451;18
1394026;48
1036576;24
841597;12
1159438;22
927728;12
1214152;15
1286573;84
975411;16
1041510;21
1232413;42
1050368;25
2186162;47
1177343;19
1562742;30
1142604;16
817918;19
2296503;68
1092249;32
1251478;24
